ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
21119-20100816,713 N SPAULDING AVE 1ST-3RD ,CHICAGO,IL,60624,27,48,11,41.89413538,-87.70880783
1887658-20100816,1339 S HOMAN AVE  ,CHICAGO,IL,60623,24,35,10,41.86327717,-87.71030455
1491171-20100816,4115 W 31ST ST 1 ,CHICAGO,IL,60623,22,16,10,41.83673647,-87.72747862
31662-20100916,225 S CANAL ST  ,CHICAGO,IL,60606,2,12,1,41.87853128,-87.63942746
2069140-20101123,67 E 43RD ST 1 1,CHICAGO,IL,60653,3,15,2,41.81642056,-87.62356598
2069141-20101124,1608 N MILWAUKEE AVE 11 1108,CHICAGO,IL,60647,32,2,14,41.9105442,-87.67794052
2069147-20101208,4639 N BROADWAY  1 ,CHICAGO,IL,60640,46,32,19,41.96645582,-87.65798433
2069152-20101124,4753 N LINCOLN AVE 1 ,CHICAGO,IL,60625,47,20,19,41.96805207,-87.68804
2069156-20101124,3115 W 26TH ST 1ST ,CHICAGO,IL,60623,12,6,10,41.84442867,-87.70323687
2069157-20101124,809-811 E 79TH ST 1ST ,CHICAGO,IL,60619,8,43,6,41.75118129,-87.60482882
1927943-20101216,3714 W BELMONT AVE 1ST ,CHICAGO,IL,60618,35,33,17,41.93928745,-87.72048561
1478154-20101216,3340 W NEWPORT AVE  ,CHICAGO,IL,60618,35,24,17,41.94364473,-87.71190916
2064279-20110526,1 S WACKER DR 29TH 2920,CHICAGO,IL,60606,2,12,1,41.88188623,-87.63661833
1893146-20101216,3040 W IRVING PARK RD 1ST ,CHICAGO,IL,60618,33,11,17,41.95404965,-87.70480759
23158-20101216,4325 N LINCOLN AVE  ,CHICAGO,IL,60618,47,28,19,41.96036708,-87.68295106
76366-20100816,3645 W 25TH ST 1ST ,CHICAGO,IL,60623,22,13,10,41.84608565,-87.71657691
2084001-20110614,4507 N SHERIDAN RD 1 1,CHICAGO,IL,60640,46,26,19,41.96385527,-87.65462401
2069159-20101126,3423 N DRAKE AVE  ,CHICAGO,IL,60618,35,24,17,41.94383694,-87.71614127
2069162-20101130,2238-48 N CICERO AVE  ,CHICAGO,IL,60639,31,42,25,41.92175368,-87.74638596
2087865-20110517,801-811 S CICERO AVE 1 1,CHICAGO,IL,60644,24,41,11,41.87036638,-87.74475049
2087969-20110608,5217 W FULLERTON AVE 1ST ,CHICAGO,IL,60639,37,1,25,41.92398587,-87.75683601
2069174-20101124,3745 W CHICAGO AVE 1 1,CHICAGO,IL,60651,27,47,11,41.89531044,-87.72053748
32628-20100916,200 N MICHIGAN AVE  ,CHICAGO,IL,60601,42,9,1,41.88580155,-87.62465977
2069184-20101124,4660 N ELSTON AVE GROUND ,CHICAGO,IL,60630,45,14,17,41.9656683,-87.73680646
2088541-20110613,3200 S KEDZIE AVE 1ST 1X,CHICAGO,IL,60623,22,,,41.83517807,-87.70490856
84334-20101216,2138 W BELMONT AVE 1ST ,CHICAGO,IL,60618,32,42,19,41.93963416,-87.68233109
2069196-20101126,6956 W DIVERSEY AVE 1 ,CHICAGO,IL,60707,36,14,25,41.93093632,-87.80017042
2089083-20110615,10 W 35TH ST 2ND ,CHICAGO,IL,60616,3,53,2,41.83111342,-87.6269922
1478340-20101216,4073 N ELSTON AVE  ,CHICAGO,IL,60618,33,29,17,41.95521188,-87.72114747
1519580-20101216,7320 S STONY ISLAND AVE  ,CHICAGO,IL,60649,5,19,3,41.76173419,-87.58636009
41499-20110616,2845 W 48TH PL  ,CHICAGO,IL,60632,14,33,9,41.80545524,-87.69590329
31148-20101216,7854 S JEFFERY BLVD 1ST ,CHICAGO,IL,60649,8,23,4,41.75180758,-87.57613388
35611-20110616,4737 S CHRISTIANA AVE  ,CHICAGO,IL,60632,14,20,8,41.80696134,-87.70747914
2069200-20101203,3018 N OAKLEY AVE 1ST ,CHICAGO,IL,60618,1,42,19,41.93645162,-87.6857035
2069205-20101129,437 E 103RD ST FIRST ,CHICAGO,IL,60628,9,1,5,41.70722688,-87.61231706
43004-20101216,2802 N WESTERN AVE # 1ST,CHICAGO,IL,60618,1,7,14,41.93221699,-87.68803328
1196727-20100816,6122 N NORTHWEST HWY  ,CHICAGO,IL,60631,41,19,16,41.99274651,-87.79993013
2069214-20101129,1811 W NORTH AVE 4TH 402,CHICAGO,IL,60622,1,21,14,41.91044395,-87.67305724
15206-20110616,5946 S WESTERN AVE  1,CHICAGO,IL,60636,16,44,8,41.78515581,-87.68394599
34009-20100916,1151 S WOOD ST 1ST ,CHICAGO,IL,60612,2,42,12,41.86695926,-87.67120735
17155-20101216,2524 E 75TH ST 1ST ,CHICAGO,IL,60649,7,23,3,41.75915377,-87.56204709
1969478-20101216,3962 N ELSTON AVE 1ST ,CHICAGO,IL,60618,33,9,17,41.95319639,-87.71862219
2021267-20101216,4153 N LINCOLN AVE 1ST ,CHICAGO,IL,60618,47,35,19,41.95739698,-87.68086301
1887484-20101216,3025 N MILWAUKEE AVE 1 ,CHICAGO,IL,60618,35,13,25,41.93626118,-87.71896404
16485-20110616,6200 S OAKLEY AVE  ,CHICAGO,IL,60636,15,33,8,41.78096419,-87.68130088
1243365-20101216,4249 N LINCOLN AVE  ,CHICAGO,IL,60618,47,28,19,41.95911678,-87.68207185
2069228-20101130,1913 W DIVERSEY PKWY 1 ,CHICAGO,IL,60614,32,24,19,41.9322066,-87.67563733
21120-20100816,3341 W CERMAK RD 1ST ,CHICAGO,IL,60623,22,29,10,41.85160877,-87.70923791
1221590-20100816,7244 W TOUHY AVE  ,CHICAGO,IL,60631,41,1,16,42.01178295,-87.80840305
2069234-20101130,3340 N CLARK ST 2 225,CHICAGO,IL,60657,44,20,19,41.94271739,-87.65308345
2049817-20101129,4463 W LAWRENCE AVE 1ST ,CHICAGO,IL,60630,45,10,17,41.96799647,-87.7403944
2069258-20101129,6400 N NORTHWEST HWY 1 ,CHICAGO,IL,60631,41,15,16,41.9969237,-87.80694519
2069262-20101201,3200 S KEDZIE AVE 1 2F,CHICAGO,IL,60623,22,15,10,41.83517807,-87.70490856
20025-20110616,4344 W 45TH ST  ,CHICAGO,IL,60632,14,25,8,41.81152167,-87.73299882
21366-20110616,4607 S PULASKI RD  ,CHICAGO,IL,60632,14,27,8,41.80944508,-87.72349569
2069271-20101129,6908 W BELMONT AVE 1ST ,CHICAGO,IL,60634,36,46,16,41.93822679,-87.79854508
2069274-20101130,230 W SUPERIOR ST LL ,CHICAGO,IL,60654,42,68,18,41.89568451,-87.63552196
2069281-20101129,722 W 69TH ST 1ST ,CHICAGO,IL,60621,6,15,7,41.76897765,-87.64269336
2069282-20101209,7 E SUPERIOR ST 1ST ,CHICAGO,IL,60611,42,56,18,41.89557194,-87.62784531
1477740-20101216,2201 W ROSCOE ST  ,CHICAGO,IL,60618,32,15,19,41.94304639,-87.68335791
44514-20110616,3800 W 38TH ST  ,CHICAGO,IL,60632,14,27,8,41.82314049,-87.71958937
